source	target	source_id	target_id
physics	new physics	G 	new_physics
instruments	instrumentation and control	G0 	instrumentation_and_control
squares	least-squares analysis	G01B 3/566	least-squares_analysis
measuring on gear teeth	gear teeth	G01B 7/146	gear_teeth
interferometers	interferometric phase	G01B 9/02	interferometric_phase
with imaging systems	imaging systems	G01B 9/0203	imaging_systems
active optical surveying means 	active optics	G01C 15/002	active_optics
power supply	power supplies	G01C 19/10	power_supplies
signal processing	signal theory	G01C 19/5614	signal_theory
signal processing	signal analysis	G01C 19/5614	signal_analysis
signal processing	signal processing	G01C 19/5614	signal_processing
signal processing	signal processing	G01C 19/5649	signal_processing
signal processing	signal analysis	G01C 19/5649	signal_analysis
signal processing	signal theory	G01C 19/5649	signal_theory
signal processing	signal analysis	G01C 19/5726	signal_analysis
signal processing	signal processing	G01C 19/5726	signal_processing
signal processing	signal theory	G01C 19/5726	signal_theory
ring laser gyrometers {details}	ring lasers	G01C 19/661	ring_lasers
data obtained from user input	usage data	G01C 21/3856	usage_data
structures of map data	concurrent data structures	G01C 21/3863	concurrent_data_structures
construction	engineering	G01D 13/04	engineering
monitoring; controlling	remote monitoring and control	G01D 2204/20	remote_monitoring_and_control
networks; topology	network topology	G01D 2204/40	network_topology
remote reading of utility meters	meter readings	G01D 4/002	meter_readings
failure detection	failure detector	G01D 5/24457	failure_detector
failure detection	project failures	G01D 5/24457	project_failures
error correction	joint source channel coding	G01D 5/24471	joint_source_channel_coding
error correction	channel coding	G01D 5/24471	channel_coding
error correction	error correction models	G01D 5/24471	error_correction_models
error correction	joint source-channel coding	G01D 5/24471	joint_source-channel_coding
signal processing 	signal analysis	G01D 5/24476	signal_analysis
signal processing 	signal processing	G01D 5/24476	signal_processing
signal processing 	signal theory	G01D 5/24476	signal_theory
pulse stream	stream mining	G01D 5/2492	stream_mining
particular pulse shapes	pulse shapes	G01D 5/366	pulse_shapes
micromachined devices	micromachined	G01F 1/6845	micromachined
acoustic waves	acoustic waves	G01F 23/296	acoustic_waves
frequency	frequency multiplying circuits	G01H 1/06	frequency_multiplying_circuits
frequency	variable frequency oscillators	G01H 1/06	variable_frequency_oscillators
frequency	electric frequency measurement	G01H 1/06	electric_frequency_measurement
frequency	doppler frequency shift	G01H 1/06	doppler_frequency_shift
frequency	different frequency	G01H 1/06	different_frequency
amplitude	spectral amplitude	G01H 1/08	spectral_amplitude
frequency	variable frequency oscillators	G01H 1/14	variable_frequency_oscillators
frequency	frequency multiplying circuits	G01H 1/14	frequency_multiplying_circuits
frequency	different frequency	G01H 1/14	different_frequency
frequency	electric frequency measurement	G01H 1/14	electric_frequency_measurement
frequency	doppler frequency shift	G01H 1/14	doppler_frequency_shift
amplitude	spectral amplitude	G01H 1/16	spectral_amplitude
frequency	variable frequency oscillators	G01H 3/04	variable_frequency_oscillators
frequency	electric frequency measurement	G01H 3/04	electric_frequency_measurement
frequency	frequency multiplying circuits	G01H 3/04	frequency_multiplying_circuits
frequency	different frequency	G01H 3/04	different_frequency
frequency	doppler frequency shift	G01H 3/04	doppler_frequency_shift
frequency by electric means	electric frequency measurement	G01H 3/06	electric_frequency_measurement
frequency by electric means	electric frequency control	G01H 3/06	electric_frequency_control
handheld	handheld	G01J 1/0233	handheld
multispectral imaging, e.g. filter imaging	multi-spectral imaging systems	G01J 2003/2826	multi-spectral_imaging_systems
colour computing	color computer graphics	G01J 2003/467	color_computer_graphics
devices	facts devices	G01J 2004/001	facts_devices
sheet	style sheets	G01J 2005/0029	style_sheets
imaging	3-d imaging	G01J 2005/0077	3-d_imaging
